conversion_id,click_id,user_id,order_id,timestamp,product_asin,product_title,product_category,order_value,commission_rate,commission_earned,quantity_purchased,conversion_time_hours,customer_type,payment_method,shipping_method,order_status,return_status,customer_lifetime_value,previous_orders_count
CONV001,CLK001,USR10001,ORD2024010001,2024-01-01 10:30:45,B08N5WRWNW,Echo Dot (4th Gen) Smart speaker with Alexa,Electronics,49.99,0.04,2.00,1,2.25,New,Credit Card,Standard,Delivered,None,49.99,0
CONV002,CLK003,USR10003,ORD2024010002,2024-01-01 14:22:18,B08C1W5N87,Instant Pot Duo 7-in-1 Electric Pressure Cooker,Kitchen,79.95,0.03,2.40,1,3.62,Returning,PayPal,Prime,Delivered,None,245.87,3
CONV003,CLK006,USR10006,ORD2024010003,2024-01-01 16:45:22,B08QRST678,Ring Video Doorbell 4,Home Security,199.99,0.02,4.00,1,3.33,New,Credit Card,Express,Delivered,None,199.99,0
CONV004,CLK007,USR10007,ORD2024010004,2024-01-01 18:15:33,B07TUVW901,Fitbit Charge 5 Fitness Tracker,Health & Fitness,149.95,0.025,3.75,1,3.55,Returning,Debit Card,Standard,Delivered,None,389.75,2
CONV005,CLK009,USR10009,ORD2024010005,2024-01-01 19:28:44,B08ABC567,Keurig K-Mini Coffee Maker,Kitchen,59.99,0.03,1.80,1,2.92,New,Credit Card,Prime,Delivered,None,59.99,0
CONV006,CLK011,USR10011,ORD2024020001,2024-01-02 12:30:25,B09GHI123,Shark Navigator Lift-Away Vacuum,Home & Garden,179.99,0.025,4.50,1,3.75,Returning,PayPal,Standard,Delivered,None,456.78,4
CONV007,CLK013,USR10013,ORD2024020002,2024-01-02 15:45:12,B07MNO789,Cuisinart Air Fryer Toaster Oven,Kitchen,199.95,0.03,6.00,1,5.49,New,Credit Card,Express,Delivered,None,199.95,0
CONV008,CLK014,USR10014,ORD2024020003,2024-01-02 17:22:33,B09PQR012,Apple Watch Series 8,Electronics,399.00,0.02,7.98,1,5.99,Returning,Apple Pay,Prime,Delivered,None,1245.67,5
CONV009,CLK015,USR10015,ORD2024020004,2024-01-02 20:15:44,B08STU345,Dyson V8 Cordless Vacuum,Home & Garden,349.99,0.025,8.75,1,6.67,New,Credit Card,Standard,Delivered,None,349.99,0
CONV010,CLK018,USR10018,ORD2024020005,2024-01-02 22:30:15,B08BCD234,Samsung 55" 4K Smart TV,Electronics,497.99,0.02,9.96,1,6.62,Returning,Credit Card,White Glove,Delivered,None,1567.89,3
CONV011,CLK002,USR10002,ORD2024010006,2024-01-01 11:45:30,B07FZ8S74R,Fire TV Stick 4K streaming device,Electronics,39.99,0.04,1.60,1,2.38,New,Amazon Pay,Prime,Delivered,None,39.99,0
CONV012,CLK004,USR10004,ORD2024010007,2024-01-01 15:22:18,B07HGJKL12,Apple AirPods Pro (2nd Generation),Electronics,249.00,0.02,4.98,1,3.85,Returning,Credit Card,Express,Delivered,None,678.45,2
CONV013,CLK005,USR10005,ORD2024010008,2024-01-01 16:33:25,B09MNOP345,Ninja Foodi Personal Blender,Kitchen,79.99,0.03,2.40,1,4.25,New,PayPal,Standard,Delivered,None,79.99,0
CONV014,CLK008,USR10008,ORD2024010009,2024-01-01 20:45:12,B09XYZ234,Sony WH-1000XM4 Wireless Headphones,Electronics,348.00,0.02,6.96,1,4.82,Returning,Credit Card,Prime,Delivered,None,892.34,4
CONV015,CLK010,USR10010,ORD2024010010,2024-01-01 21:15:33,B07DEF890,Anker Portable Charger PowerCore 10000,Electronics,25.99,0.04,1.04,2,3.92,New,Debit Card,Standard,Delivered,None,25.99,0
CONV016,CLK012,USR10012,ORD2024020006,2024-01-02 13:45:18,B08JKL456,Roku Ultra 4K Streaming Device,Electronics,99.99,0.04,4.00,1,4.25,Returning,Credit Card,Prime,Delivered,None,234.56,1
CONV017,CLK016,USR10016,ORD2024020007,2024-01-02 18:30:44,B07VWX678,Bose QuietComfort 45 Headphones,Electronics,329.00,0.02,6.58,1,4.92,New,PayPal,Express,Delivered,None,329.00,0
CONV018,CLK017,USR10017,ORD2024020008,2024-01-02 19:22:15,B09YZA901,Ninja Creami Ice Cream Maker,Kitchen,199.99,0.03,6.00,1,4.78,Returning,Credit Card,Standard,Delivered,None,567.89,2
CONV019,CLK019,USR10019,ORD2024020009,2024-01-02 21:45:33,B07EFG567,Vitamix 5200 Blender,Kitchen,449.95,0.025,11.25,1,5.02,New,Credit Card,Prime,Delivered,None,449.95,0
CONV020,CLK020,USR10020,ORD2024020010,2024-01-02 23:15:22,B09HIJ890,Garmin Forerunner 245 GPS Watch,Health & Fitness,299.99,0.025,7.50,1,5.52,Returning,Amazon Pay,Express,Delivered,None,789.45,3
CONV021,,USR10021,ORD2024030001,2024-01-03 09:30:15,B08N5WRWNW,Echo Dot (4th Gen) Smart speaker with Alexa,Electronics,49.99,0.04,2.00,2,0,Direct,Credit Card,Prime,Delivered,None,149.97,1
CONV022,,USR10022,ORD2024030002,2024-01-03 11:45:22,B07FZ8S74R,Fire TV Stick 4K streaming device,Electronics,39.99,0.04,1.60,1,0,Direct,PayPal,Standard,Delivered,None,39.99,0
CONV023,,USR10023,ORD2024030003,2024-01-03 14:22:33,B08C1W5N87,Instant Pot Duo 7-in-1 Electric Pressure Cooker,Kitchen,79.95,0.03,2.40,1,0,Direct,Credit Card,Express,Delivered,None,79.95,0
CONV024,,USR10024,ORD2024030004,2024-01-03 16:15:44,B07HGJKL12,Apple AirPods Pro (2nd Generation),Electronics,249.00,0.02,4.98,1,0,Direct,Apple Pay,Prime,Delivered,None,249.00,0
CONV025,,USR10025,ORD2024030005,2024-01-03 18:30:55,B09MNOP345,Ninja Foodi Personal Blender,Kitchen,79.99,0.03,2.40,1,0,Direct,Credit Card,Standard,Delivered,None,79.99,0
CONV026,CLK001,USR10001,ORD2024040001,2024-01-04 10:22:18,B07FZ8S74R,Fire TV Stick 4K streaming device,Electronics,39.99,0.04,1.60,1,74.12,Returning,Credit Card,Prime,Delivered,None,89.98,1
CONV027,CLK003,USR10003,ORD2024040002,2024-01-04 12:45:33,B09GHI123,Shark Navigator Lift-Away Vacuum,Home & Garden,179.99,0.025,4.50,1,70.38,Returning,PayPal,Standard,Delivered,None,425.86,4
CONV028,CLK006,USR10006,ORD2024040003,2024-01-04 15:30:44,B08ABC567,Keurig K-Mini Coffee Maker,Kitchen,59.99,0.03,1.80,1,71.75,Returning,Credit Card,Express,Delivered,None,259.98,1
CONV029,CLK007,USR10007,ORD2024040004,2024-01-04 17:15:22,B09XYZ234,Sony WH-1000XM4 Wireless Headphones,Electronics,348.00,0.02,6.96,1,72.99,Returning,Debit Card,Prime,Delivered,None,737.75,3
CONV030,CLK009,USR10009,ORD2024040005,2024-01-04 19:45:15,B08STU345,Dyson V8 Cordless Vacuum,Home & Garden,349.99,0.025,8.75,1,75.28,Returning,Credit Card,White Glove,Delivered,None,409.98,1
CONV031,CLK021,USR10021,ORD2024050001,2024-01-05 10:30:22,B08N5WRWNW,Echo Dot (4th Gen) Smart speaker with Alexa,Electronics,49.99,0.04,2.00,1,2.30,New,Credit Card,Prime,Delivered,None,49.99,0
CONV032,CLK023,USR10023,ORD2024050002,2024-01-05 14:22:18,B08C1W5N87,Instant Pot Duo 7-in-1 Electric Pressure Cooker,Kitchen,79.95,0.03,2.40,1,3.57,New,PayPal,Standard,Delivered,None,79.95,0
CONV033,CLK025,USR10025,ORD2024050003,2024-01-05 16:45:33,B09MNOP345,Ninja Foodi Personal Blender,Kitchen,79.99,0.03,2.40,1,4.38,New,Credit Card,Express,Delivered,None,79.99,0
CONV034,CLK027,USR10027,ORD2024050004,2024-01-05 18:15:44,B07TUVW901,Fitbit Charge 5 Fitness Tracker,Health & Fitness,149.95,0.025,3.75,1,3.95,New,Debit Card,Prime,Delivered,None,149.95,0
CONV035,CLK029,USR10029,ORD2024050005,2024-01-05 20:30:15,B08ABC567,Keurig K-Mini Coffee Maker,Kitchen,59.99,0.03,1.80,1,3.75,New,Credit Card,Standard,Delivered,None,59.99,0
CONV036,CLK031,USR10031,ORD2024060001,2024-01-06 12:45:22,B09GHI123,Shark Navigator Lift-Away Vacuum,Home & Garden,179.99,0.025,4.50,1,4.50,Returning,PayPal,Standard,Delivered,None,179.99,0
CONV037,CLK033,USR10033,ORD2024060002,2024-01-06 15:22:33,B07MNO789,Cuisinart Air Fryer Toaster Oven,Kitchen,199.95,0.03,6.00,1,4.95,New,Credit Card,Express,Delivered,None,199.95,0
CONV038,CLK035,USR10035,ORD2024060003,2024-01-06 18:45:15,B08STU345,Dyson V8 Cordless Vacuum,Home & Garden,349.99,0.025,8.75,1,5.92,New,Credit Card,White Glove,Delivered,None,349.99,0
CONV039,CLK037,USR10037,ORD2024060004,2024-01-06 20:22:44,B09YZA901,Ninja Creami Ice Cream Maker,Kitchen,199.99,0.03,6.00,1,5.62,New,PayPal,Standard,Delivered,None,199.99,0
CONV040,CLK039,USR10039,ORD2024060005,2024-01-06 22:15:33,B07EFG567,Vitamix 5200 Blender,Kitchen,449.95,0.025,11.25,1,5.70,New,Credit Card,Prime,Delivered,None,449.95,0
CONV041,CLK041,USR10041,ORD2024070001,2024-01-07 11:30:45,B08EFG123,Instant Vortex Plus 4-Quart Air Fryer,Kitchen,79.99,0.03,2.40,1,3.13,New,Credit Card,Prime,Delivered,None,79.99,0
CONV042,CLK043,USR10043,ORD2024070002,2024-01-07 14:45:22,B09JKL789,Breville Barista Express Espresso Machine,Kitchen,699.95,0.025,17.50,1,3.95,New,Credit Card,White Glove,Delivered,None,699.95,0
CONV043,CLK045,USR10045,ORD2024070003,2024-01-07 17:22:18,B07PQR345,Theragun Elite Percussive Therapy Device,Health & Fitness,399.00,0.02,7.98,1,5.12,New,PayPal,Express,Delivered,None,399.00,0
CONV044,CLK047,USR10047,ORD2024070004,2024-01-07 19:45:33,B07FZ8S74R,Fire TV Stick 4K streaming device,Electronics,39.99,0.04,1.60,1,5.37,New,Amazon Pay,Prime,Delivered,None,39.99,0
CONV045,CLK049,USR10049,ORD2024070005,2024-01-07 21:30:15,B07HGJKL12,Apple AirPods Pro (2nd Generation),Electronics,249.00,0.02,4.98,1,5.20,New,Apple Pay,Express,Delivered,None,249.00,0
CONV046,CLK051,USR10051,ORD2024080001,2024-01-08 13:22:44,B08QRST678,Ring Video Doorbell 4,Home Security,199.99,0.02,4.00,1,4.62,New,Credit Card,Standard,Delivered,None,199.99,0
CONV047,CLK053,USR10053,ORD2024080002,2024-01-08 16:45:15,B09XYZ234,Sony WH-1000XM4 Wireless Headphones,Electronics,348.00,0.02,6.96,1,6.17,New,Credit Card,Prime,Delivered,None,348.00,0
CONV048,CLK055,USR10055,ORD2024080003,2024-01-08 18:30:22,B07DEF890,Anker Portable Charger PowerCore 10000,Electronics,25.99,0.04,1.04,2,5.08,New,Debit Card,Standard,Delivered,None,51.98,0
CONV049,CLK057,USR10057,ORD2024080004,2024-01-08 20:45:33,B08JKL456,Roku Ultra 4K Streaming Device,Electronics,99.99,0.04,4.00,1,6.45,New,Credit Card,Prime,Delivered,None,99.99,0
CONV050,CLK059,USR10059,ORD2024080005,2024-01-08 22:22:18,B09PQR012,Apple Watch Series 8,Electronics,399.00,0.02,7.98,1,5.95,New,Apple Pay,Express,Delivered,None,399.00,0
CONV051,CLK061,USR10061,ORD2024090001,2024-01-09 11:45:22,B07VWX678,Bose QuietComfort 45 Headphones,Electronics,329.00,0.02,6.58,1,3.55,New,Credit Card,Prime,Delivered,None,329.00,0
CONV052,CLK063,USR10063,ORD2024090002,2024-01-09 14:30:15,B08BCD234,Samsung 55" 4K Smart TV,Electronics,497.99,0.02,9.96,1,3.75,New,Credit Card,White Glove,Delivered,None,497.99,0
CONV053,CLK065,USR10065,ORD2024090003,2024-01-09 17:22:44,B09HIJ890,Garmin Forerunner 245 GPS Watch,Health & Fitness,299.99,0.025,7.50,1,5.00,New,Amazon Pay,Standard,Delivered,None,299.99,0
CONV054,CLK067,USR10067,ORD2024090004,2024-01-09 19:45:33,B07GHI456,Anova Culinary Sous Vide Precision Cooker,Kitchen,149.99,0.035,5.25,1,5.45,New,PayPal,Express,Delivered,None,149.99,0
CONV055,CLK069,USR10069,ORD2024090005,2024-01-09 21:30:18,B08MNO012,Philips Sonicare ProtectiveClean 6100,Health & Personal Care,149.99,0.03,4.50,1,5.08,New,Credit Card,Prime,Delivered,None,149.99,0
CONV056,CLK071,USR10071,ORD2024100001,2024-01-10 12:22:33,B08N5WRWNW,Echo Dot (4th Gen) Smart speaker with Alexa,Electronics,49.99,0.04,2.00,1,3.78,New,Credit Card,Prime,Delivered,None,49.99,0
CONV057,CLK073,USR10073,ORD2024100002,2024-01-10 15:45:44,B08C1W5N87,Instant Pot Duo 7-in-1 Electric Pressure Cooker,Kitchen,79.95,0.03,2.40,1,5.38,New,PayPal,Standard,Delivered,None,79.95,0
CONV058,CLK075,USR10075,ORD2024100003,2024-01-10 17:30:22,B09MNOP345,Ninja Foodi Personal Blender,Kitchen,79.99,0.03,2.40,1,5.20,New,Credit Card,Express,Delivered,None,79.99,0
CONV059,CLK077,USR10077,ORD2024100004,2024-01-10 19:22:15,B07TUVW901,Fitbit Charge 5 Fitness Tracker,Health & Fitness,149.95,0.025,3.75,1,4.98,New,Debit Card,Prime,Delivered,None,149.95,0
CONV060,CLK079,USR10079,ORD2024100005,2024-01-10 21:45:33,B08ABC567,Keurig K-Mini Coffee Maker,Kitchen,59.99,0.03,1.80,1,5.33,New,Credit Card,Standard,Delivered,None,59.99,0
CONV061,CLK081,USR10081,ORD2024110001,2024-01-11 12:30:45,B09GHI123,Shark Navigator Lift-Away Vacuum,Home & Garden,179.99,0.025,4.50,1,4.25,Returning,PayPal,Standard,Delivered,None,359.98,1
CONV062,CLK083,USR10083,ORD2024110002,2024-01-11 15:22:18,B07MNO789,Cuisinart Air Fryer Toaster Oven,Kitchen,199.95,0.03,6.00,1,4.57,New,Credit Card,Express,Delivered,None,199.95,0
CONV063,CLK085,USR10085,ORD2024110003,2024-01-11 18:45:33,B08STU345,Dyson V8 Cordless Vacuum,Home & Garden,349.99,0.025,8.75,1,5.45,New,Credit Card,White Glove,Delivered,None,349.99,0
CONV064,CLK087,USR10087,ORD2024110004,2024-01-11 20:30:22,B09YZA901,Ninja Creami Ice Cream Maker,Kitchen,199.99,0.03,6.00,1,5.92,New,PayPal,Standard,Delivered,None,199.99,0
CONV065,CLK089,USR10089,ORD2024110005,2024-01-11 22:15:44,B07EFG567,Vitamix 5200 Blender,Kitchen,449.95,0.025,11.25,1,5.70,New,Credit Card,Prime,Delivered,None,449.95,0
CONV066,CLK091,USR10091,ORD2024120001,2024-01-12 11:45:22,B08EFG123,Instant Vortex Plus 4-Quart Air Fryer,Kitchen,79.99,0.03,2.40,1,3.38,New,Credit Card,Prime,Delivered,None,79.99,0
CONV067,CLK093,USR10093,ORD2024120002,2024-01-12 14:30:15,B09JKL789,Breville Barista Express Espresso Machine,Kitchen,699.95,0.025,17.50,1,4.20,New,Credit Card,White Glove,Delivered,None,699.95,0
CONV068,CLK095,USR10095,ORD2024120003,2024-01-12 17:22:44,B07PQR345,Theragun Elite Percussive Therapy Device,Health & Fitness,399.00,0.02,7.98,1,4.95,New,PayPal,Express,Delivered,None,399.00,0
CONV069,CLK097,USR10097,ORD2024120004,2024-01-12 19:45:33,B07FZ8S74R,Fire TV Stick 4K streaming device,Electronics,39.99,0.04,1.60,1,5.33,New,Amazon Pay,Prime,Delivered,None,39.99,0
CONV070,CLK099,USR10099,ORD2024120005,2024-01-12 21:30:18,B07HGJKL12,Apple AirPods Pro (2nd Generation),Electronics,249.00,0.02,4.98,1,5.20,New,Apple Pay,Express,Delivered,None,249.00,0
CONV071,,USR10101,ORD2024130001,2024-01-13 09:15:22,B08N5WRWNW,Echo Dot (4th Gen) Smart speaker with Alexa,Electronics,49.99,0.04,2.00,2,0,Direct,Credit Card,Prime,Delivered,None,99.98,0
CONV072,,USR10102,ORD2024130002,2024-01-13 11:30:45,B07FZ8S74R,Fire TV Stick 4K streaming device,Electronics,39.99,0.04,1.60,1,0,Direct,PayPal,Standard,Delivered,None,39.99,0
CONV073,,USR10103,ORD2024130003,2024-01-13 14:22:33,B08C1W5N87,Instant Pot Duo 7-in-1 Electric Pressure Cooker,Kitchen,79.95,0.03,2.40,1,0,Direct,Credit Card,Express,Delivered,None,79.95,0
CONV074,,USR10104,ORD2024130004,2024-01-13 16:45:15,B07HGJKL12,Apple AirPods Pro (2nd Generation),Electronics,249.00,0.02,4.98,1,0,Direct,Apple Pay,Prime,Delivered,None,249.00,0
