product_asin,product_title,brand,category,subcategory,price,original_price,discount_percentage,rating,review_count,prime_eligible,bestseller_rank,release_date,dimensions,weight,color_options,size_options,commission_rate,affiliate_fee_structure,product_description,key_features,target_audience,seasonal_trend,inventory_status
B08N5WRWNW,Echo Dot (4th Gen) Smart speaker with Alexa,Amazon,Electronics,Smart Home,49.99,49.99,0,4.7,125847,Yes,1,2020-10-22,3.9 x 3.9 x 3.5 inches,0.75 lbs,"Charcoal,Glacier White,Twilight Blue","One Size",0.04,Fixed,"Compact smart speaker with Alexa voice control","Voice control,Music streaming,Smart home hub,Compact design",Tech enthusiasts,Holiday peak,In Stock
B07FZ8S74R,Fire TV Stick 4K streaming device,Amazon,Electronics,Streaming Devices,39.99,49.99,20,4.5,89234,Yes,2,2018-10-31,4.3 x 0.6 x 0.5 inches,0.21 lbs,Black,"One Size",0.04,Fixed,"4K Ultra HD streaming stick with Alexa Voice Remote","4K streaming,Alexa remote,Dolby Vision,HDR10+",Cord cutters,Year-round,In Stock
B08C1W5N87,Instant Pot Duo 7-in-1 Electric Pressure Cooker,Instant Pot,Kitchen,Pressure Cookers,79.95,99.95,20,4.6,67892,Yes,1,2020-08-01,13.0 x 12.5 x 12.8 inches,11.8 lbs,"Stainless Steel,Black","3Qt,6Qt,8Qt",0.03,Tiered,"Multi-functional electric pressure cooker","7-in-1 functionality,Pressure cook,Slow cook,Rice cooker",Home cooks,Back-to-school,In Stock
B07HGJKL12,Apple AirPods Pro (2nd Generation),Apple,Electronics,Audio,249.00,249.00,0,4.4,45678,Yes,3,2022-09-23,1.22 x 0.86 x 0.94 inches,0.19 lbs,White,"One Size",0.02,Fixed,"Wireless earbuds with active noise cancellation","Active noise cancellation,Spatial audio,Transparency mode,Wireless charging",Apple users,Holiday peak,In Stock
B09MNOP345,Ninja Foodi Personal Blender,Ninja,Kitchen,Blenders,79.99,99.99,20,4.3,23456,Yes,5,2021-03-15,5.5 x 5.5 x 15.5 inches,4.6 lbs,"Black,Gray","18oz,24oz",0.03,Tiered,"Personal blender for smoothies and shakes","Single-serve,Nutrient extraction,BPA-free,Dishwasher safe",Health conscious,New Year,In Stock
B08QRST678,Ring Video Doorbell 4,Ring,Home Security,Video Doorbells,199.99,229.99,13,4.2,34567,Yes,1,2021-04-08,5.1 x 2.4 x 0.8 inches,0.77 lbs,"Satin Nickel,Venetian Bronze","One Size",0.02,Fixed,"Smart video doorbell with advanced motion detection","1080p HD video,Two-way talk,Motion alerts,Night vision",Homeowners,Spring,In Stock
B07TUVW901,Fitbit Charge 5 Fitness Tracker,Fitbit,Health & Fitness,Fitness Trackers,149.95,199.95,25,4.1,56789,Yes,2,2021-09-27,1.4 x 0.9 x 0.4 inches,0.64 oz,"Black,Lunar White,Steel Blue","S,L",0.025,Tiered,"Advanced fitness tracker with built-in GPS","Built-in GPS,Heart rate monitoring,Sleep tracking,6-month Fitbit Premium",Fitness enthusiasts,New Year,In Stock
B09XYZ234,Sony WH-1000XM4 Wireless Headphones,Sony,Electronics,Headphones,348.00,399.99,13,4.6,78901,Yes,1,2020-08-06,9.94 x 7.27 x 3.03 inches,0.56 lbs,"Black,Silver,Blue,Midnight Blue","One Size",0.02,Fixed,"Industry-leading noise canceling wireless headphones","Noise canceling,30-hour battery,Touch controls,Speak-to-chat",Audiophiles,Year-round,In Stock
B08ABC567,Keurig K-Mini Coffee Maker,Keurig,Kitchen,Coffee Makers,59.99,79.99,25,4.4,45123,Yes,3,2019-05-15,4.5 x 11.3 x 12.1 inches,4.6 lbs,"Black,Red,Gray,Oasis","One Size",0.03,Tiered,"Single serve coffee maker for K-Cup pods","Single serve,6-12oz brew sizes,Compact design,Auto shut-off",Coffee lovers,Year-round,In Stock
B07DEF890,Anker Portable Charger PowerCore 10000,Anker,Electronics,Portable Chargers,25.99,29.99,13,4.5,67234,Yes,1,2019-01-10,3.62 x 2.36 x 0.87 inches,0.63 lbs,"Black,White,Blue,Red","10000mAh,20000mAh",0.04,Fixed,"Ultra-compact portable charger with high-speed charging","10000mAh capacity,PowerIQ technology,Compact size,MultiProtect safety",Mobile users,Travel season,In Stock
B09GHI123,Shark Navigator Lift-Away Vacuum,Shark,Home & Garden,Vacuum Cleaners,179.99,229.99,22,4.3,89012,Yes,2,2020-02-14,15 x 11.4 x 45.5 inches,12.5 lbs,"Blue,Purple","One Size",0.025,Tiered,"Upright vacuum with lift-away canister","Lift-away canister,Anti-allergen seal,Swivel steering,Pet hair pickup",Homeowners,Spring cleaning,In Stock
B08JKL456,Roku Ultra 4K Streaming Device,Roku,Electronics,Streaming Devices,99.99,99.99,0,4.4,34567,Yes,4,2020-10-13,9.5 x 5.1 x 0.9 inches,0.7 lbs,Black,"One Size",0.04,Fixed,"Premium 4K streaming device with Dolby Vision","4K/HDR/Dolby Vision,Voice remote,Lost remote finder,Ethernet port",Streaming enthusiasts,Year-round,In Stock
B07MNO789,Cuisinart Air Fryer Toaster Oven,Cuisinart,Kitchen,Air Fryers,199.95,249.95,20,4.2,23890,Yes,3,2020-06-01,15.5 x 16.0 x 14.0 inches,21 lbs,"Stainless Steel,Black","One Size",0.03,Tiered,"Digital air fryer toaster oven with 7 functions","Air fry,Convection bake,Convection broil,Bake,Broil,Warm,Toast",Home cooks,Holiday season,In Stock
B09PQR012,Apple Watch Series 8,Apple,Electronics,Smartwatches,399.00,399.00,0,4.3,45678,Yes,1,2022-09-16,1.73 x 1.50 x 0.41 inches,1.34 oz,"Midnight,Starlight,Silver,Product Red","41mm,45mm",0.02,Fixed,"Advanced smartwatch with health monitoring","Blood oxygen monitoring,ECG,Crash detection,Water resistant",Apple ecosystem users,Holiday peak,In Stock
B08STU345,Dyson V8 Cordless Vacuum,Dyson,Home & Garden,Cordless Vacuums,349.99,449.99,22,4.1,56123,Yes,1,2019-03-20,9.8 x 8.7 x 49.6 inches,5.6 lbs,"Purple,Yellow,Red","One Size",0.025,Tiered,"Lightweight cordless vacuum with powerful suction","Cordless design,40-minute runtime,Whole-machine filtration,Converts to handheld",Busy households,Spring cleaning,In Stock
B07VWX678,Bose QuietComfort 45 Headphones,Bose,Electronics,Noise Cancelling Headphones,329.00,329.00,0,4.4,34789,Yes,2,2021-09-23,7.2 x 6.0 x 3.3 inches,0.53 lbs,"Black,White Smoke","One Size",0.02,Fixed,"Wireless noise cancelling headphones","World-class noise cancellation,22-hour battery,TriPort acoustic architecture,Aware mode",Frequent travelers,Year-round,In Stock
B09YZA901,Ninja Creami Ice Cream Maker,Ninja,Kitchen,Ice Cream Makers,199.99,229.99,13,4.0,12345,Yes,7,2021-08-15,16.5 x 12.4 x 12.9 inches,20 lbs,"Black,White","One Size",0.03,Tiered,"Transform frozen ingredients into ice cream and more","7 one-touch programs,Creamify technology,BPA-free,Dishwasher safe parts",Dessert lovers,Summer peak,In Stock
B08BCD234,Samsung 55" 4K Smart TV,Samsung,Electronics,Smart TVs,497.99,599.99,17,4.3,67890,Yes,5,2020-04-01,48.4 x 27.8 x 2.3 inches,36.4 lbs,Black,"43",50",55",65",75"",0.02,Fixed,"4K UHD Smart TV with Crystal Display","4K Crystal Display,Smart TV powered by Tizen,HDR,Voice control",Entertainment seekers,Black Friday,In Stock
B07EFG567,Vitamix 5200 Blender,Vitamix,Kitchen,High Performance Blenders,449.95,549.95,18,4.5,23456,Yes,1,2018-01-15,8.75 x 7.25 x 20.5 inches,10.56 lbs,"Black,Red,White","One Size",0.025,Tiered,"Professional-grade blender for whole food nutrition","Variable speed control,Aircraft-grade stainless steel blades,Self-cleaning,7-year warranty",Health enthusiasts,New Year,In Stock
B09HIJ890,Garmin Forerunner 245 GPS Watch,Garmin,Health & Fitness,GPS Watches,299.99,349.99,14,4.2,34567,Yes,3,2019-04-30,1.2 x 1.2 x 0.5 inches,1.3 oz,"Black,Aqua,Berry,Slate Gray","One Size",0.025,Tiered,"GPS running smartwatch with music and advanced training features","Built-in GPS,Music storage,Training status,Safety features",Serious runners,Marathon season,In Stock
B08EFG123,Instant Vortex Plus 4-Quart Air Fryer,Instant Pot,Kitchen,Air Fryers,79.99,99.99,20,4.4,45678,Yes,4,2020-09-01,13.0 x 11.0 x 13.0 inches,12.9 lbs,"Black,Stainless Steel","4Qt,6Qt,10Qt",0.03,Tiered,"4-in-1 air fryer with smart programs","Air fry,Roast,Bake,Reheat,One-touch smart programs,EvenCrisp technology",Health-conscious cooks,New Year,In Stock
B07GHI456,Anova Culinary Sous Vide Precision Cooker,Anova,Kitchen,Sous Vide,149.99,199.99,25,4.1,12890,Yes,8,2018-06-15,2.2 x 2.8 x 14.8 inches,2.5 lbs,"Black,White","One Size",0.035,Tiered,"WiFi-enabled precision cooker for sous vide cooking","WiFi connectivity,Precision temperature control,App control,Professional results",Culinary enthusiasts,Holiday season,In Stock
B09JKL789,Breville Barista Express Espresso Machine,Breville,Kitchen,Espresso Machines,699.95,799.95,13,4.3,23456,Yes,2,2021-01-20,13.1 x 12.5 x 15.8 inches,23 lbs,"Stainless Steel,Black Sesame","One Size",0.025,Tiered,"All-in-one espresso machine with built-in grinder","Built-in conical burr grinder,15 bar pressure,Micro-foam milk texturing,Pre-infusion",Coffee aficionados,Year-round,In Stock
B08MNO012,Philips Sonicare ProtectiveClean 6100,Philips,Health & Personal Care,Electric Toothbrushes,149.99,199.99,25,4.2,34567,Yes,1,2020-03-10,1.1 x 1.1 x 9.5 inches,0.3 lbs,"White,Black,Pink","One Size",0.03,Tiered,"Rechargeable electric toothbrush with pressure sensor","Pressure sensor,3 cleaning modes,2-week battery life,BrushSync technology",Oral health conscious,New Year,In Stock
B07PQR345,Theragun Elite Percussive Therapy Device,Therabody,Health & Fitness,Massage Devices,399.00,399.00,0,4.0,12345,Yes,6,2020-08-15,9.0 x 6.5 x 2.5 inches,2.2 lbs,"Black,White","One Size",0.02,Fixed,"Professional-grade percussive therapy device","OLED screen,Bluetooth connectivity,120-minute battery,4 attachments",Athletes and fitness enthusiasts,Year-round,In Stock
B08STU901,KitchenAid Stand Mixer Artisan Series,KitchenAid,Kitchen,Stand Mixers,379.99,429.99,12,4.6,78901,Yes,1,2019-09-01,14.0 x 8.8 x 14.2 inches,22 lbs,"Empire Red,Onyx Black,Ice,Silver","5Qt,6Qt",0.025,Tiered,"Iconic stand mixer for baking enthusiasts","10 speeds,Tilt-head design,Dishwasher-safe bowl,Multiple attachments available",Baking enthusiasts,Holiday season,In Stock
B09VWX234,iPad Air (5th Generation),Apple,Electronics,Tablets,599.00,599.00,0,4.5,45678,Yes,2,2022-03-18,9.74 x 7.02 x 0.24 inches,1.02 lbs,"Space Gray,Starlight,Pink,Purple,Blue","64GB,256GB",0.02,Fixed,"Powerful tablet with M1 chip","M1 chip,10.9-inch Liquid Retina display,12MP cameras,All-day battery",Creative professionals,Back-to-school,In Stock
B08YZA567,Ninja Professional Blender BL610,Ninja,Kitchen,Blenders,89.99,129.99,31,4.4,34567,Yes,2,2020-01-15,9.0 x 7.0 x 17.0 inches,9.04 lbs,"Black,Gray","72oz",0.03,Tiered,"Professional blender with Total Crushing technology","1000-watt motor,Total Crushing blades,BPA-free,Dishwasher safe",Smoothie enthusiasts,New Year,In Stock
B07BCD890,Roomba i7+ Robot Vacuum,iRobot,Home & Garden,Robot Vacuums,799.99,999.99,20,4.2,23456,Yes,1,2018-09-20,13.34 x 13.34 x 3.63 inches,7.44 lbs,Black,"One Size",0.02,Fixed,"Smart robot vacuum with automatic dirt disposal","Smart mapping,Automatic dirt disposal,WiFi connected,Voice control",Busy households,Spring cleaning,In Stock
B09DEF123,MacBook Air M2,Apple,Electronics,Laptops,1199.00,1199.00,0,4.7,56789,Yes,1,2022-07-15,11.97 x 8.46 x 0.44 inches,2.7 lbs,"Midnight,Starlight,Space Gray,Silver","256GB,512GB,1TB,2TB",0.015,Fixed,"Redesigned MacBook Air with M2 chip","M2 chip,13.6-inch Liquid Retina display,1080p FaceTime HD camera,18-hour battery",Students and professionals,Back-to-school,In Stock
B08EFG456,Hydro Flask Water Bottle,Hydro Flask,Sports & Outdoors,Water Bottles,39.95,39.95,0,4.6,67890,Yes,3,2019-03-01,10.8 x 2.9 x 2.9 inches,0.69 lbs,"Black,White,Blue,Pink,Green","12oz,21oz,32oz,40oz",0.04,Fixed,"Insulated stainless steel water bottle","TempShield insulation,BPA-free,Dishwasher safe,Lifetime warranty",Outdoor enthusiasts,Summer peak,In Stock
B07GHI789,AirPods (3rd Generation),Apple,Electronics,Audio,179.00,179.00,0,4.3,89012,Yes,4,2021-10-26,1.83 x 0.73 x 0.76 inches,0.15 lbs,White,"One Size",0.02,Fixed,"Wireless earbuds with spatial audio","Spatial audio,Adaptive EQ,Sweat and water resistant,Up to 30 hours battery",Apple users,Holiday peak,In Stock
B09HIJ012,Kindle Paperwhite (11th Generation),Amazon,Electronics,E-readers,139.99,139.99,0,4.4,45678,Yes,1,2021-10-27,6.9 x 4.9 x 0.32 inches,0.46 lbs,"Black,Denim,Sage","8GB,32GB",0.04,Fixed,"Waterproof e-reader with adjustable warm light","6.8-inch display,Adjustable warm light,Waterproof,Weeks of battery life",Book lovers,Year-round,In Stock
B08JKL345,Beats Studio3 Wireless Headphones,Beats,Electronics,Headphones,349.95,349.95,0,4.1,34567,Yes,5,2017-10-01,7.36 x 6.73 x 3.28 inches,0.57 lbs,"Matte Black,Red,Blue,White","One Size",0.02,Fixed,"Wireless noise cancelling headphones","Pure ANC,Apple W1 chip,22-hour battery,Fast Fuel charging",Music lovers,Year-round,In Stock
B07MNO678,Yeti Rambler Tumbler,YETI,Kitchen,Drinkware,34.99,34.99,0,4.7,78901,Yes,2,2018-05-15,6.875 x 3.5 x 3.5 inches,1.1 lbs,"Stainless,Black,White,Navy","20oz,30oz",0.04,Fixed,"Insulated stainless steel tumbler","Double-wall vacuum insulation,DuraCoat color,Dishwasher safe,No Sweat design",Outdoor enthusiasts,Year-round,In Stock
B09PQR901,Nintendo Switch OLED Model,Nintendo,Electronics,Gaming Consoles,349.99,349.99,0,4.5,56789,Yes,1,2021-10-08,4.0 x 9.5 x 0.55 inches,0.93 lbs,"White,Neon Red/Blue","64GB",0.02,Fixed,"Gaming console with vibrant OLED screen","7-inch OLED screen,Enhanced audio,64GB internal storage,Improved kickstand",Gamers,Holiday season,In Stock
B08STU234,Lululemon Align High-Rise Pant,Lululemon,Clothing,Activewear,128.00,128.00,0,4.3,23456,Yes,8,2020-02-01,Varies,Varies,"Black,Navy,Gray,Olive","0,2,4,6,8,10,12,14",0.03,Tiered,"Buttery-soft yoga pants","Nulu fabric,High-rise,28-inch inseam,Four-way stretch",Yoga enthusiasts,New Year,In Stock
B07VWX567,Patagonia Better Sweater Fleece Jacket,Patagonia,Clothing,Outerwear,99.00,99.00,0,4.4,67890,Yes,4,2019-08-15,Varies,Varies,"Black,Navy,Gray,Oatmeal","XS,S,M,L,XL,XXL",0.025,Tiered,"Classic fleece jacket made from recycled polyester","100% recycled polyester,Full-zip,Raglan sleeves,Fair Trade Certified",Outdoor enthusiasts,Fall/Winter,In Stock
B09YZA890,Allbirds Tree Runners,Allbirds,Shoes,Sneakers,98.00,98.00,0,4.2,45678,Yes,6,2021-04-01,Varies,Varies,"White,Black,Gray,Navy","5,6,7,8,9,10,11,12,13,14",0.03,Tiered,"Sustainable sneakers made from eucalyptus tree fiber","Tree fiber upper,SweetFoam midsole,Machine washable,Carbon neutral",Eco-conscious consumers,Spring,In Stock
B08ABC123,Peloton Bike+,Peloton,Health & Fitness,Exercise Bikes,2495.00,2495.00,0,4.1,12345,Yes,12,2020-09-09,59.0 x 23.0 x 53.0 inches,140 lbs,Black,"One Size",0.015,Fixed,"Premium indoor cycling bike with rotating screen","23.8-inch HD touchscreen,Auto-follow resistance,Apple GymKit integration,Dolby Atmos speakers",Fitness enthusiasts,New Year,In Stock
B07DEF456,Oura Ring Gen3,Oura,Health & Fitness,Wearable Tech,299.00,299.00,0,4.0,34567,Yes,7,2021-11-15,Varies,0.1 oz,"Silver,Black,Stealth,Gold","6,7,8,9,10,11,12,13",0.025,Tiered,"Smart ring for health and sleep tracking","Sleep tracking,Heart rate monitoring,Temperature sensing,7-day battery life",Health-conscious users,New Year,In Stock
B09GHI789,Tesla Model Y Phone Mount,Tesla,Automotive,Phone Accessories,49.99,49.99,0,4.3,23456,Yes,15,2021-12-01,4.0 x 3.0 x 2.0 inches,0.5 lbs,Black,"One Size",0.04,Fixed,"Wireless charging phone mount for Tesla Model Y","Wireless charging,Perfect fit,Easy installation,Premium materials",Tesla owners,Year-round,In Stock
B08JKL012,Sonos One Smart Speaker,Sonos,Electronics,Smart Speakers,219.00,219.00,0,4.4,56789,Yes,3,2017-10-04,6.36 x 4.69 x 4.69 inches,4.08 lbs,"Black,White","One Size",0.02,Fixed,"Smart speaker with voice control and superior sound","Voice control,Trueplay tuning,Multi-room audio,AirPlay 2 support",Music enthusiasts,Year-round,In Stock
B07MNO345,Tile Mate Bluetooth Tracker,Tile,Electronics,Bluetooth Trackers,59.99,59.99,0,4.2,78901,Yes,5,2020-09-15,1.38 x 1.38 x 0.24 inches,0.26 oz,"White,Black","4-Pack",0.04,Fixed,"Bluetooth tracker for finding lost items","200 ft range,Replaceable battery,Water resistant,Community find network",Forgetful individuals,Year-round,In Stock
B09PQR678,Oculus Quest 2 VR Headset,Meta,Electronics,VR Headsets,399.99,399.99,0,4.3,45678,Yes,2,2020-10-13,7.5 x 4.0 x 8.9 inches,1.1 lbs,White,"128GB,256GB",0.02,Fixed,"All-in-one VR headset for immersive experiences","Fast-switch LCD,3D positional audio,Hand tracking,Wireless freedom",Gamers and tech enthusiasts,Holiday season,In Stock
B08STU901,Nespresso VertuoPlus Coffee Machine,Nespresso,Kitchen,Coffee Machines,179.99,199.99,10,4.3,34567,Yes,3,2019-06-01,12.8 x 8.7 x 12.2 inches,9.9 lbs,"Black,White,Red","One Size",0.03,Tiered,"Single-serve coffee machine with centrifusion technology","Centrifusion brewing,One-touch operation,Automatic capsule ejection,40oz water tank",Coffee lovers,Year-round,In Stock
B07VWX234,Brita Water Filter Pitcher,Brita,Kitchen,Water Filters,29.99,34.99,14,4.4,67890,Yes,1,2018-03-15,10.47 x 5.67 x 10.94 inches,2.37 lbs,"White,Black","10-cup,6-cup",0.04,Fixed,"Water filter pitcher for cleaner tasting water","Reduces chlorine taste,BPA-free,Easy-fill lid,Filter change indicator",Health-conscious families,Year-round,In Stock
B09YZA567,Crock-Pot 6-Quart Slow Cooker,Crock-Pot,Kitchen,Slow Cookers,49.99,59.99,17,4.5,78901,Yes,2,2020-08-01,16.5 x 10.5 x 9.0 inches,9.2 lbs,"Black,Stainless Steel","4Qt,6Qt,8Qt",0.03,Tiered,"Programmable slow cooker for convenient cooking","Programmable timer,Auto-keep warm,Removable stoneware,Dishwasher safe",Busy families,Fall/Winter,In Stock
B08ABC890,Bissell CrossWave Pet Pro,Bissell,Home & Garden,Floor Care,249.99,299.99,17,4.2,45678,Yes,4,2019-11-01,12.0 x 10.5 x 46.0 inches,11.5 lbs,"Purple,Black","One Size",0.025,Tiered,"Multi-surface wet dry vacuum for pet owners","Wet and dry vacuum,Pet hair strainer,Tangle-free brush roll,Multi-surface cleaning",Pet owners,Spring cleaning,In Stock
B07DEF123,Philips Hue Smart Bulb Starter Kit,Philips,Electronics,Smart Home,99.99,129.99,23,4.4,56789,Yes,2,2018-09-15,5.43 x 2.36 x 2.36 inches,0.5 lbs,"White,Color","A19,BR30,GU10",0.03,Tiered,"Smart LED bulbs with app control","16 million colors,Voice control,Scheduling,Dimming",Smart home enthusiasts,Year-round,In Stock
B09GHI456,Razer DeathAdder V3 Gaming Mouse,Razer,Electronics,Gaming Accessories,99.99,99.99,0,4.5,34567,Yes,6,2022-08-25,5.0 x 2.7 x 1.7 inches,0.21 lbs,Black,"One Size",0.03,Tiered,"High-performance gaming mouse","30K DPI sensor,90-hour battery,Ergonomic design,Razer HyperSpeed wireless",Gamers,Year-round,In Stock
B08JKL789,Anker PowerWave Wireless Charger,Anker,Electronics,Wireless Chargers,25.99,29.99,13,4.3,67890,Yes,4,2019-04-01,3.9 x 3.9 x 0.5 inches,0.37 lbs,"Black,White","10W,15W",0.04,Fixed,"Fast wireless charging pad","10W fast charging,Temperature control,Case friendly,LED indicator",Smartphone users,Year-round,In Stock
B07MNO012,Logitech MX Master 3 Mouse,Logitech,Electronics,Computer Accessories,99.99,99.99,0,4.6,78901,Yes,1,2019-09-26,5.2 x 3.3 x 2.0 inches,0.31 lbs,"Graphite,Mid Grey","One Size",0.03,Tiered,"Advanced wireless mouse for productivity","MagSpeed scrolling,Darkfield tracking,70-day battery,Multi-device connectivity",Professionals,Year-round,In Stock
B09PQR345,Keychron K2 Mechanical Keyboard,Keychron,Electronics,Keyboards,89.99,89.99,0,4.4,45678,Yes,8,2020-01-15,12.2 x 5.1 x 1.3 inches,1.98 lbs,"Space Gray,White","Gateron Blue,Brown,Red",0.03,Tiered,"Wireless mechanical keyboard for Mac and PC","Hot-swappable switches,RGB backlight,Mac/Windows compatible,4000mAh battery",Typing enthusiasts,Year-round,In Stock
B08STU678,Webcam 1080P HD,Logitech,Electronics,Webcams,69.99,79.99,13,4.2,56789,Yes,5,2020-03-01,3.7 x 1.1 x 1.1 inches,0.36 lbs,Black,"One Size",0.03,Tiered,"Full HD webcam for video calls","1080p HD video,Auto-focus,Built-in microphone,Plug-and-play",Remote workers,Year-round,In Stock
B07VWX901,Blue Yeti USB Microphone,Blue,Electronics,Microphones,99.99,129.99,23,4.4,67890,Yes,3,2018-07-01,4.7 x 4.9 x 11.6 inches,3.67 lbs,"Blackout,Silver,Blue","One Size",0.025,Tiered,"Professional USB microphone for streaming","Four pickup patterns,Real-time headphone monitoring,Mute button,Plug-and-play",Content creators,Year-round,In Stock
B09YZA234,Ring Alarm 8-piece Kit,Ring,Home Security,Security Systems,199.99,249.99,20,4.1,34567,Yes,2,2021-03-15,Varies,Varies,White,"5-piece,8-piece,14-piece",0.02,Fixed,"DIY home security system","Professional monitoring,Mobile alerts,Easy installation,Works with Alexa",Homeowners,Year-round,In Stock
B08ABC567,Nest Learning Thermostat,Google,Electronics,Smart Home,249.99,249.99,0,4.3,78901,Yes,4,2019-10-15,3.3 x 3.3 x 1.2 inches,0.66 lbs,"Mirror Black,Copper,Stainless Steel","One Size",0.02,Fixed,"Smart thermostat that learns your schedule","Auto-schedule,Energy saving,Remote control,Works with Google Assistant",Smart home users,Year-round,In Stock
B07DEF890,Arlo Pro 4 Security Camera,Arlo,Home Security,Security Cameras,199.99,199.99,0,4.0,45678,Yes,7,2020-10-01,3.1 x 2.2 x 3.9 inches,0.75 lbs,White,"1-camera,2-camera,4-camera",0.02,Fixed,"Wireless security camera with spotlight","2K video,Color night vision,Spotlight,Weather resistant",Security-conscious homeowners,Year-round,In Stock
B09GHI123,Eufy RoboVac 11S,Eufy,Home & Garden,Robot Vacuums,229.99,299.99,23,4.3,56789,Yes,3,2020-05-01,12.8 x 12.8 x 2.85 inches,5.73 lbs,Black,"One Size",0.025,Tiered,"Slim robot vacuum cleaner","Super-slim design,Quiet operation,Multiple cleaning modes,100-minute runtime",Busy households,Spring cleaning,In Stock
B08JKL456,Waterpik Water Flosser,Waterpik,Health & Personal Care,Oral Care,79.99,99.99,20,4.2,67890,Yes,2,2019-02-01,4.6 x 4.7 x 10.0 inches,1.8 lbs,"White,Black","One Size",0.03,Tiered,"Electric water flosser for improved oral health","10 pressure settings,7 tips included,90-second timer,Compact design",Oral health conscious,New Year,In Stock
B07MNO789,Ninja Foodi Pressure Cooker,Ninja,Kitchen,Multi Cookers,199.99,249.99,20,4.4,78901,Yes,1,2019-08-01,14.18 x 13.19 x 12.1 inches,26 lbs,"Black,Stainless Steel","6.5Qt,8Qt",0.025,Tiered,"Pressure cooker that crisps","Pressure cook and air crisp,TenderCrisp technology,14 safety features,Ceramic-coated pot",Cooking enthusiasts,Holiday season,In Stock
B09PQR012,Herman Miller Aeron Chair,Herman Miller,Furniture,Office Chairs,1395.00,1395.00,0,4.5,23456,Yes,25,2019-01-01,27.0 x 27.0 x 41.0 inches,39 lbs,"Graphite,Mineral","Size A,B,C",0.015,Fixed,"Ergonomic office chair for all-day comfort","PostureFit SL,8Z Pellicle suspension,Tilt limiter,12-year warranty",Office workers,Year-round,In Stock
B08STU345,Steelcase Leap V2 Chair,Steelcase,Furniture,Office Chairs,926.00,926.00,0,4.4,34567,Yes,30,2018-06-01,25.5 x 25.5 x 42.5 inches,44 lbs,"Black,Gray,Blue","One Size",0.015,Fixed,"Ergonomic task chair with LiveBack technology","LiveBack technology,Natural glide system,4D armrests,12-year warranty",Professionals,Year-round,In Stock
